,time,macID,name_wifi,signal,location
0,19/5/2021 4:50:27 μμ,84:3D:C6:C7:EF:20,eduroam,-81,2_031
1,19/5/2021 4:50:27 μμ,84:3D:C6:B4:E3:BF,eduroam,-82,2_031
2,19/5/2021 4:50:27 μμ,84:3D:C6:B9:2B:10,eduroam,-80,2_031
3,19/5/2021 4:50:27 μμ,84:3D:C6:B9:2B:1F,eduroam,-79,2_031
4,19/5/2021 4:50:27 μμ,00:3A:7D:27:B3:9F,eduroam,-83,2_031
5,19/5/2021 4:50:27 μμ,00:3A:7D:1E:DC:FF,eduroam,-68,2_031
6,19/5/2021 4:50:27 μμ,00:3A:7D:34:79:FF,eduroam,-77,2_031
7,19/5/2021 4:50:27 μμ,84:3D:C6:C7:ED:1F,eduroam,-72,2_031
8,19/5/2021 4:50:27 μμ,00:3A:7D:21:42:EF,eduroam,-49,2_031
9,19/5/2021 4:50:27 μμ,00:3A:7D:21:45:8F,eduroam,-79,2_031
10,19/5/2021 4:50:27 μμ,00:3A:7D:34:77:DF,eduroam,-72,2_031
11,19/5/2021 4:50:27 μμ,84:3D:C6:C7:ED:10,eduroam,-65,2_031
12,19/5/2021 4:50:27 μμ,00:3A:7D:34:77:D0,eduroam,-68,2_031
13,19/5/2021 4:50:27 μμ,00:3A:7D:34:79:F0,eduroam,-73,2_031
14,19/5/2021 4:50:27 μμ,00:3A:7D:1E:DC:F0,eduroam,-55,2_031
15,19/5/2021 4:50:27 μμ,00:3A:7D:27:B3:90,eduroam,-77,2_031
16,19/5/2021 4:50:27 μμ,84:3D:C6:B4:E3:B0,eduroam,-79,2_031
17,19/5/2021 4:50:27 μμ,00:3A:7D:21:45:80,eduroam,-72,2_031
18,19/5/2021 4:50:27 μμ,00:3A:7D:21:42:E0,eduroam,-54,2_031
19,19/5/2021 4:50:29 μμ,84:3D:C6:C7:EF:20,eduroam,-81,2_031
20,19/5/2021 4:50:29 μμ,84:3D:C6:B4:E3:BF,eduroam,-82,2_031
21,19/5/2021 4:50:29 μμ,84:3D:C6:B9:2B:10,eduroam,-80,2_031
22,19/5/2021 4:50:29 μμ,84:3D:C6:B9:2B:1F,eduroam,-79,2_031
23,19/5/2021 4:50:29 μμ,00:3A:7D:27:B3:9F,eduroam,-83,2_031
24,19/5/2021 4:50:29 μμ,00:3A:7D:1E:DC:FF,eduroam,-60,2_031
